City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
200,Meadow Lake,CA,2020-01-04 20:02:26,54.13,-108.44,23.0,79,90,3.36,overcast clouds,0.0,0.0
201,Vanavara,RU,2020-01-04 20:05:45,60.35,102.28,3.81,94,100,5.5,overcast clouds,0.0,0.0
202,Caravelas,BR,2020-01-04 20:05:45,-17.73,-39.27,78.39,84,100,8.88,overcast clouds,0.0,0.0
203,Beberibe,BR,2020-01-04 20:05:45,-4.18,-38.13,86.0,58,20,12.75,few clouds,0.0,0.0
204,San Juan,AR,2020-01-04 20:05:46,-31.54,-68.53,99.48,16,0,8.52,clear sky,0.0,0.0
205,Klaksvik,FO,2020-01-04 20:05:46,62.23,-6.59,44.6,100,100,19.46,light rain,0.0,0.0
206,Cidreira,BR,2020-01-04 20:05:46,-30.17,-50.22,73.17,80,23,17.76,light rain,0.31,0.0
207,Solnechnyy,RU,2020-01-04 20:05:46,50.72,136.64,-10.28,82,0,2.1,clear sky,0.0,0.0
208,Salamiyah,SY,2020-01-04 20:05:47,35.01,37.05,45.7,88,36,10.29,scattered clouds,0.0,0.0
209,Katangli,RU,2020-01-04 20:05:47,51.71,143.23,1.72,86,100,12.15,light snow,0.0,0.13
210,Khatanga,RU,2020-01-04 20:05:47,71.98,102.47,-18.11,85,0,8.79,clear sky,0.0,0.0
211,Huadian,CN,2020-01-04 20:05:48,42.97,126.75,7.02,95,86,2.57,overcast clouds,0.0,0.0
212,High Level,CA,2020-01-04 20:05:48,58.52,-117.13,3.2,84,40,5.82,scattered clouds,0.0,0.0
213,Tarnowskie Gory,PL,2020-01-04 20:05:48,50.45,18.86,36.0,93,75,16.11,light rain,0.0,0.0
214,Tatsuno,JP,2020-01-04 20:05:48,34.87,134.51,42.01,77,15,5.99,light snow,0.0,0.19
215,George Town,MY,2020-01-04 20:05:48,5.42,100.33,80.6,69,40,5.82,scattered clouds,0.0,0.0
216,Elko,US,2020-01-04 20:02:40,40.83,-115.76,41.0,64,90,4.7,overcast clouds,0.0,0.0
217,Jha Jha,IN,2020-01-04 20:05:49,24.77,86.37,57.83,79,33,5.55,scattered clouds,0.0,0.0
218,Adrar,DZ,2020-01-04 20:05:49,27.87,-0.29,51.8,27,85,9.17,overcast clouds,0.0,0.0
219,Port Hardy,CA,2020-01-04 20:05:50,50.7,-127.42,39.2,93,90,3.36,light intensity shower rain,0.0,0.0
220,Kawalu,ID,2020-01-04 20:05:50,-7.38,108.21,70.34,88,45,2.75,scattered clouds,0.0,0.0
221,Aktau,KZ,2020-01-04 20:05:50,43.65,51.16,19.4,85,24,11.18,few clouds,0.0,0.0
222,Banda Aceh,ID,2020-01-04 20:05:50,5.56,95.32,71.83,87,0,5.14,clear sky,0.0,0.0
223,Guane,CU,2020-01-04 20:05:50,22.2,-84.09,82.31,71,13,11.97,light rain,0.19,0.0
224,Nanortalik,GL,2020-01-04 20:05:51,60.14,-45.24,30.34,89,100,15.46,light snow,0.0,0.75
225,Las Palmas,CO,2020-01-04 20:05:51,9.27,-75.33,83.25,73,88,9.78,light rain,0.13,0.0
226,Chicama,PE,2020-01-04 20:05:51,-7.84,-79.15,73.4,78,20,10.29,few clouds,0.0,0.0
227,Luneville,FR,2020-01-04 20:05:51,48.6,6.5,43.0,75,90,4.7,overcast clouds,0.0,0.0
228,Faanui,PF,2020-01-04 20:05:52,-16.48,-151.75,81.45,77,100,12.1,overcast clouds,0.0,0.0
